Local time,Open,High,Low,Close,Volume
01.11.2024 16:40:00.000 GMT+0200,2745.915,2746.075,2739.575,2739.718,741240
01.11.2024 16:45:00.000 GMT+0200,2739.718,2743.785,2739.654,2742.875,394340.01
01.11.2024 16:50:00.000 GMT+0200,2742.915,2745.545,2740.815,2745.408,495300
01.11.2024 16:55:00.000 GMT+0200,2745.408,2747.495,2743.645,2747.105,434440.01
01.11.2024 17:00:00.000 GMT+0200,2747.215,2747.705,2744.258,2745.125,272550
01.11.2024 17:05:00.000 GMT+0200,2745.105,2745.115,2742.448,2745.005,651879.99
01.11.2024 17:10:00.000 GMT+0200,2744.965,2748.165,2744.925,2747.385,828650
01.11.2024 17:15:00.000 GMT+0200,2747.335,2748.775,2747.025,2748.405,789520
01.11.2024 17:20:00.000 GMT+0200,2748.415,2749.625,2747.015,2749.498,675870.01
01.11.2024 17:25:00.000 GMT+0200,2749.465,2750.145,2748.585,2750.145,583130
01.11.2024 17:30:00.000 GMT+0200,2750.145,2750.155,2747.645,2748.215,334120
01.11.2024 17:35:00.000 GMT+0200,2748.215,2749.235,2747.255,2747.558,313809.99
01.11.2024 17:40:00.000 GMT+0200,2747.535,2747.948,2746.085,2746.445,329390
01.11.2024 17:45:00.000 GMT+0200,2746.435,2746.648,2743.498,2743.605,623400
01.11.2024 17:50:00.000 GMT+0200,2743.605,2744.915,2742.635,2744.795,852590.01
01.11.2024 17:55:00.000 GMT+0200,2744.755,2746.125,2744.305,2744.635,767010
01.11.2024 18:00:00.000 GMT+0200,2744.625,2746.005,2744.135,2745.545,606159.99
01.11.2024 18:05:00.000 GMT+0200,2745.545,2745.955,2743.395,2743.455,562519.99
01.11.2024 18:10:00.000 GMT+0200,2743.455,2744.665,2742.565,2743.225,752980
01.11.2024 18:15:00.000 GMT+0200,2743.195,2744.425,2742.485,2744.325,663660.01
01.11.2024 18:20:00.000 GMT+0200,2744.285,2744.328,2742.785,2743.355,458160
01.11.2024 18:25:00.000 GMT+0200,2743.395,2743.905,2742.928,2743.465,562280
01.11.2024 18:30:00.000 GMT+0200,2743.465,2745.075,2743.465,2744.705,529060.01
01.11.2024 18:35:00.000 GMT+0200,2744.705,2745.145,2743.935,2744.175,449050
01.11.2024 18:40:00.000 GMT+0200,2744.118,2744.305,2740.735,2741.195,664750
01.11.2024 18:45:00.000 GMT+0200,2741.165,2742.435,2740.335,2741.685,681399.99
01.11.2024 18:50:00.000 GMT+0200,2741.845,2743.285,2741.605,2742.845,556480
01.11.2024 18:55:00.000 GMT+0200,2742.845,2743.135,2741.515,2743.005,573879.99
01.11.2024 19:00:00.000 GMT+0200,2743.005,2743.785,2741.908,2743.125,571950
01.11.2024 19:05:00.000 GMT+0200,2743.095,2743.255,2741.675,2742.145,505680
01.11.2024 19:10:00.000 GMT+0200,2742.115,2743.105,2741.475,2742.145,490619.99
01.11.2024 19:15:00.000 GMT+0200,2742.165,2742.645,2741.075,2741.415,421120
01.11.2024 19:20:00.000 GMT+0200,2741.415,2741.715,2740.128,2740.155,428970.01
01.11.2024 19:25:00.000 GMT+0200,2740.145,2740.335,2739.075,2739.795,521750
